Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Mega Speed Corporation,888-618-2714,https://www.megaspeedusa.com/,"Minnedosa, MB R0J1E0",Manufacturer,"Manufacturer of high speed cameras including portable, handheld, digital, high resolution and PC-connected. Digital video recorders (DVRs) and custom imaging systems are also offered. Secondary services such as consulting and testing are available. Suitable for recording fast-moving objects in food processing, beverage packaging, semiconductor, research and development applications. Serves automotive, aerospace, military, biological, surface mining and pharmaceutical industries.","Mega Speed Corporation's high speed products and services are used to analyze and capture events that are too fast for the human eye to see and then play the event back in super slow motion for detailed frame by frame image analysis and report generation. Our cameras are used for testing and verification of automotive safety systems, destructive impact testing, trouble-shooting / preventative maintenance, high speed production lines, aviation flight safety, spacecraft decelerator systems, NASA rocket testing, digital image correlation, beverage packaging, pharmaceutical quality control, surface mining explosion diagnostics and general research and development applications.",,$1 - 4.9 Mil,10-49  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: Digital
Cameras: High Resolution
Cameras: High Speed


Cameras: Imaging
Cameras: Industrial
Cameras: Video
Cameras, Equipment & Supplies
Cameras: Computer

View all Cameras categories","All Products / Services

Cameras
Imaging Equipment


Recorders"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital, High Speed
Cameras: Industrial
Cameras
Cameras: Digital
Cameras: Digital, High Resolution


Cameras: High Resolution
Cameras: High Speed
Cameras: High Speed Complementary Metal Oxide Semiconductor (CMOS)
Cameras: High Temperature
Cameras: Imaging

View all Cameras categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
"General Pipe Cleaners, Div. of General Wire Spring Co.",800-245-6200,https://drainbrain.com/en/home-page/,"McKees Rocks, PA 15136",Manufacturer,"Manufacturer of pipe drain cleaning equipment. Types of cleaners include small, medium, large, sectional machine and hand tool drain cleaners. Various products available include augers, waterjet, camera inspection systems, locators, transmitters, pipe freezing kits, rods and flushers. Suitable for clearing sinks, tubs and laundry drains. Made in the USA.","Opening a clogged sewer or drain calls for tough equipment. General builds sewer and drain cleaners with the most rugged components, from cutting heads to electrical systems.

We've been making pipe cleaners since 1930 and have continually improved their reliability. For instance, years ago we introduced our Flexicore® cable, which is reinforced with wire rope. It's still the toughest cable you can buy.

We build machines for professional use and for maintenance in plants, buildings, schools, restaurants, and hotels. We also make machines exclusively for the rental industry, and the highest quality drain cleaning tools available for the hardware/home center market. And we give you one of the broadest warranties in the industry.

Our web site will help you choose the model you need. If you have any questions or want more information, contact the Drain Brains® at General.",www.linkedin.com/company/general-pipe-cleaners,Not Available,Not Available  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: Digital
Cameras: High Speed
Cameras: Industrial


Cameras: Inspection
Cameras: Microscope
Cameras: Pipe & Duct Inspection
Cameras: Recording
Cameras: Video

View all Cameras categories","All Products / Services

Cleaning Equipment
Plumbing Equipment
Inspection Equipment
Cutters and Cutting Machinery
Tools
Augers
Freezers
Heaters
Plumbers' Snakes
Sensors / Detectors / Transducers


Cameras
Cleaning Compounds and Chemicals
Connectors
Diagnostic Equipment
Fittings
Flushers
Hose
Instruments
Janitorial Supplies
Jetters

View all products / services offered"
SAE Manufacturing Specialties Corp,888-662-5664,https://saemfg.com/,"Bayville, NY 11709",Manufacturer,"Manufacturer of special chemicals, energetic materials, polytechnics, ordnance or aerospace components and systems. Products include special chemicals, energetic materials, pyrotechnics, ordnance and aerospace components and systems. Additional products include electronic systems, equipment, enforcement products and an EOD full line of products and solutions. Other services such as research and development for aerospace pyrotechnic devices are also offered. Serves the defense and aerospace industries. Some products meet military specifications.",,,Not Available,Not Available  Employees,"Cameras: Digital, High Speed
Camcorders
Camcorders: Digital
Cameras
Cameras, Equipment & Supplies


Cameras: CCD
Cameras: CCTV
Cameras: Digital
Cameras: High Speed
Cameras: Imaging

View all Cameras categories","All Products / Services

Grease
Lubricants
Oils
Solid Film Lubricants
Chemicals
Abrasive Blast Equipment
Accelerometers
Acetaminophen
Actuators
Additive Manufacturing Materials


Adhesives
Agents
Aggregates
Aluminum
Ammeters
Ammunition
Amplifiers
Analyzers
Anesthesia Equipment
Antennas

View all products / services offered"
Lapmaster Wolters,877-352-8637,https://www.lapmaster-wolters.com/,"Mount Prospect, IL 60056",Manufacturer,"Manufacturer of precision surface products including machinery, bore honing & finishing equipment, consumables, accessories, cleaning systems & metallographic products. Accessories include flatness instruments, lapping & polishing machine tooling & hand lapping polishing plates. Cleaning agents, ultrasonic cleaning solutions, beakers & ultrasonic degreasers are also available. Capabilities include contract flat lapping, grinding, polishing & optical flat reconditioning. Various industries served include automotive, diesel, aerospace, bearings, coatings, castings, compound semiconductors, compressors, valves, cutting tools, knives, data storage, electro optics, mechanical seals, sealing surfaces, medical devices, optics, pumps, technical ceramics & tools & dies.","In today's technologically advanced world, there are a growing number of applications where conventional machining techniques just aren't accurate enough to meet precision surfacing requirements. Precision surfacing with abrasive media, a technology developed and refined by Lapmaster International over the past 50 years, can often be the answer.

 However, it takes more than the technology alone to produce precision surfacing specifications. It takes a company with extensive knowledge and experience with a broad range of materials and applications . . .A company capable of creating customized, turnkey precision surfacing solutions utilizing the latest conventional and super-abrasive techniques...It takes Lapmaster International, your partner in precision surfacing technology.

Since 1948, industry has relied on Lapmaster International to solve the most challenging precision surfacing problems. With over 50 years of experience, Lapmaster has a proven history of successfully developing cost More... effective processing solutions for virtually any application. Whether its precision sizing, flatness, parallelism, or surface finish that's required, Lapmaster has the solution!

 Lapmaster serves the Fine Grinding, Advanced Materials, Precision Optics, Bore Honing and Finishing, Lapping/Polishing, Contract Grinding Services, Contract DeBurring Services, Contract Finishing Services and Metallographic markets through an expanding network of sales and services offices located throughout the world. Sales and technical service is available either through your local Lapmaster Sales Representative or through our main Sales and Technical Services Centers located in Mount Prospect, IL, Plymouth, UK, Chennai, India, Tokyo, Japan and Shenyang, China. Our customer service staff is standing by to assist you. We invite you to visit one of our facilities for equipment and process training free of charge. On site training is also available for a nominal fee. Less",www.linkedin.com/company/lapmaster-international-llc?trk=hb_tab_compy_id_794672,$25 - 49.9 Mil,200-499  Employees,"Cameras: Digital, High Speed
Camcorders: Digital
Cameras
Cameras: CCD
Cameras: Digital


Cameras: Digital, High Resolution
Cameras: High Resolution
Cameras: High Speed
Cameras: Imaging
Cameras: Industrial

View all Cameras categories","All Products / Services

Abrasive Compounds / Media
Alumina (Aluminum Oxide)
Applicators
Assembly Machinery
Ballasts
Bases
Beakers
Bearings
Belts
Blades


Blocks
Bolts
Bottles
Buffers
Cabinets
Cameras
Capacitors
Carriers
Charts
Chemicals

View all products / services offered"
"HSAUSA, LLC",800-298-8936,https://www.hsausa.com/,"Perth Amboy, NJ 08861",Manufacturer,"Manufacturer & distributor of industrial printing & marking products including industrial ink jet printers, controllers, bar code readers, bar code verifiers & bar code scanners, inks, pharmaceutical vision systems, transport bases, optical character readers, page printers, feeders & printer accessories. Accessories include cartridges, printer stands & UV curing lamps. Ink jet printers include industrial ink jet printers with EPROM. Types of controllers include ink jet printer controllers, industrial printer controllers with 15 in. touch screen panels, PCI-based controller boards, high resolution controller units & tiny controller units. Printers are available with Windows® software. Markets served include cosmetics & pharmaceutical.","Don't miss the opportunity to try the next generation in printing and coding! We carry a complete line of high-end fully integrated product handling and marking solutions with print and barcode verification. All of our printing solutions come with a user-friendly Windows-based software package.

Our printers are specifically designed to meet the packaging and mailing requirements of the pharmaceutical, cosmetic, and food industries. In every instance, the HSAUSA distribution network works closely with customers to develop and deliver the best possible results. HSAUSA printers, coders, and markers incorporate the latest innovative printing technology, so they are reliable, cost-effective, easy-to-use, and have maintenance solutions built right in.",,Under $1 Mil,10-49  Employees,"Cameras: Digital, High Speed
Cameras: Digital


Cameras: Digital, High Resolution","All Products / Services

Feeders and Feed Systems
Printers
Coders
Applicators
Assembly Machinery
Automation Systems
Barcode Systems
Bases
Boards
Cameras
Cartridges
Cases
Circuit Board Components


Controls and Controllers
Counters
COVID-19 Response
Custom Machinery
Daters
Identification Products
Inking Systems
Inks
Integration Services
Labelers
Machine Vision Systems
Mailing Systems
Markers and Marking Equipment

View all products / services offered"
"Senspex, Inc.",505-891-0034,https://www.senspex.com/,"Albuquerque, NM 87114",Distributor,"Turnkey system integrator for thermal imaging systems. Video encoder, hardware, illuminators and control systems are available. Suitable for zero-lux environments, transportation hubs, industrial parks, MOUT, troop range and night-time surveillance applications.",,,$250 Mil. and over,50-99  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: Digital
Cameras: Digital, High Resolution
Cameras: High Resolution


Cameras: High Speed
Cameras: Imaging
Cameras: Infrared
Cameras: Surveillance
Cameras: Thermal","All Products / Services

Cameras
Controls and Controllers
Encoders
Hardware


Illuminators
Imaging Equipment
Integration Services"
Keyence Corp. of America,888-539-3623,https://www.keyence.com/,"Itasca, IL 60143",Manufacturer,"Manufacturer of industrial automation and inspection systems, equipment and supplies. Products include sensors, measurement sensors, measurement systems, safety products, process controls, static eliminators/ionizers, machine vision systems, Auto ID systems, controls, PLCs, laser markers/laser engravers, microscopes and macroscopes. Sensors such as photoelectric sensors, fiber optic sensors, laser sensors, inductive proximity sensors, positioning sensors, measurement sensors, 1D laser displacement sensors, 2D laser displacement sensors, confocal laser displacement sensors, LVDT contact distance sensors, process sensors, pressure sensors, flow sensors, temperature sensors and vision sensors are available. Safety equipment includes light curtains, laser scanners and E-stop controllers. Control products such as process control sensors, analog sensor controllers, machinery controls, counters, programmable logic controllers (PLCs), LCD display preset counters and timers are available.",,www.linkedin.com/company/keyence?trk=parent_company_logo,Not Available,Not Available  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: High Resolution
Cameras: High Speed
Cameras: Identification


Cameras: Industrial
Cameras: Inspection
Cameras: Line Scan
Cameras: Machine Vision
Cameras: Visual Inspection","All Products / Services

Aligners
Automation Systems
Barcode Systems
Blowers
Cameras
Communication Systems
Comparators
Consoles
Controls and Controllers
Counters


Curtains
Cutters and Cutting Machinery
Eliminators
Engraving Equipment
Fiber
Gages
Identification Products
Imaging Equipment
Inspection Equipment
Instruments

View all products / services offered"
Imperx Inc.,866-849-1662,https://www.imperx.com/,"Boca Raton, FL 33487-2812",Manufacturer,"Manufacturer of digital cameras for industrial, military, medical and municipal applications. Products include programmable low noise CCD cameras, camera selector, frame grabbers, adapters, converters, repeaters, power supplies, cables and lens mounts.",,,$1 - 4.9 Mil,10-49  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: CCD
Cameras: Digital
Cameras: High Resolution


Cameras: High Speed
Cameras: Industrial
Cameras: Programmable
Medical Imaging Cameras: CCD
Video Progressive Scan Cameras","All Products / Services

Adapters
Cameras
Grabs


Integration Services
Mounts
Power Supplies"
"ANVS, Inc.",800-561-2345,https://anvsinc.com/,"North Salt Lake, UT 84054",Manufacturer,"Manufacturer of night vision devices. Products include monocular, binoculars, goggles, sights and thermal systems.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: CCD
Cameras: High Speed


Cameras: Infrared
Cameras: Intensified
Cameras: Machine Vision","All Products / Services

Binoculars
Cameras
Consulting Services
COVID-19 Response
Electro-Optical Equipment
Electro-Optical Systems
Engineering Services
Fire Fighting Tools
Generators
Goggles
Illuminators


Imaging Equipment
Intensifiers
Lights
Medical Personal Protective Equipment (PPE)
Monoculars
Photonic Products
Sight Glasses
Sights
Thermal Systems
Viewers
Wildfire Response"
Mid-State Instruments,866-451-2257,https://www.midstateinstruments.com/,"San Luis Obispo, CA 93401",Manufacturer,"Worldwide mfrs. rep. of measurement & control products. Products include thermal imaging & stabilized camera systems for thermography & imaging applications, gas analyzers & systems for measurement applications, data acquisition & handling systems to monitor for EPA regulatory compliance & process control, combustible & toxic gas & fire detection equipment, gases & gas handling equipment, infrared scanners, speed control & motion detection systems & detection & emission monitoring equipment for boiler & furnace maintenance & burner optimization. Applications include condition monitoring, airborne observation, search & rescue, drug interdiction, surveillance & reconnaissance, navigation safety & land based security. Industries served include research & development, health & safety, broadcast, manufacturing, environmental, automotive, border & maritime patrol, semiconductor, analytical & industrial.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital, High Speed
Cameras
Cameras, Equipment & Supplies
Cameras: CCTV
Cameras: Computer


Cameras: Corona
Cameras: Digital
Cameras: Digital, High Resolution
Cameras: Explosion Proof
Cameras: Fire Fighting

View all Cameras categories","All Products / Services

Analyzers
Calibrators
Cameras
Controls and Controllers
Counters
Data Acquisition Systems
Delivery Systems
Enclosures
Fire Fighting Electronics
Flowmeter Components


Flowmeters
Housings
Imaging Equipment
Infrared Equipment
Meters
Monitoring Systems
Monitors
Motor Controllers and Drives
Processors
Reconnaissance Systems

View all products / services offered"
OmegaBrandess,410-374-3250,https://omegabrandess.com/,"Hampstead, MD 21074",Distributor,"Distributor of cameras and related supplies. Products include digital cameras, lenses, darkroom chemicals, cleaning fluids, filters, lighting, backgrounds, memory cards, flashers, diffusers, viewers, hard drives, digital picture frames, tripods, bags, cases and carts.",,,Not Available,Not Available  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: Digital


Cameras: Digital, High Resolution
Cameras: Underwater","All Products / Services

Backgrounds
Bags
Batteries
Camera Parts
Cameras
Cases
Chemicals
Cleaning Compounds and Chemicals
Darkroom Equipment
Diffusers


Digital Memory
Filters
Frames
Lenses
Lights
Meters
Reflectors
Tripods
Viewers
Washing Equipment"
Sigma Corporation of America,631-585-1144,https://www.sigmaphoto.com/,"Ronkonkoma, NY 11779",Manufacturer,"Manufacturer of cameras, lenses, and flashes. Types of cameras include digital, high speed, and high resolution. Camera kits are also available. Camera accessories include battery chargers, batteries, cases, view finders, and power grips. Lens accessories include caps and hoods. Flash accessories include adapters and stands. Applications include travel, landscape, portrait, nature and wildlife, sport and action, and specialty.",,,$5 - 9.9 Mil,10-49  Employees,"Cameras: Digital, High Speed
Cameras
Cameras, Equipment & Supplies
Cameras: Digital


Cameras: Digital, High Resolution
Cameras: High Resolution
Cameras: High Speed","All Products / Services

Cameras


Lenses"
PixeLINK,888-484-8262,https://pixelink.com/,"Ottawa, ON K1J1A3",Custom Manufacturer,"Manufacturer of standard and custom  digital cameras for scientific & industrial applications. Types of digital cameras include machine vision cameras, microscopy cameras, OEM imaging modules. Digital cameras are available with FireWIre or USB 2.0 interface with image analysis software & software developer's kits (SDK). Digital cameras are compatible with operating systems including Microsoft® Windows® 2000 & XP.",,,$1 - 4.9 Mil,10-49  Employees,"Cameras: Digital, High Speed
Cameras
Cameras: Board
Cameras: CCD
Cameras: Complementary Metal Oxide Semiconductor (CMOS)


Cameras: Digital
Cameras: Digital, High Resolution
Cameras: High Resolution
Cameras: High Speed
Cameras: Identification

View all Cameras categories","All Products / Services

Audio Visual (AV) Equipment
Cameras
Identification Products
Imaging Equipment


Inspection Equipment
Machine Vision Systems
Modules
Software"
Tensor ID,760-385-3557,https://tensorid.com/,"Oceanside, CA 92056",Turnkey Systems Integrator,"Designer, distributor and installer of barcode reading and machine vision systems for the pharmaceutical, healthcare, food and beverage, aerospace, automotive, department of defense, solar, packaging, plastics, electronics and semiconductor industries. Products include barcode readers, barcode verification systems, machine vision cameras and machine vision lighting. Additional services include system programming, machine building and cap, liquid level, barcode label, data, lot code, variety code OCR, dented can, silicone distribution, liquid level, presence and absence, DPM barcode and DPM OCR inspections.",,,Not Available,Not Available  Employees,"Cameras: Digital, High Speed
Cameras
Cameras, Equipment & Supplies
Cameras: Digital
Cameras: Digital, High Resolution


Cameras: High Resolution
Cameras: High Speed
Cameras: Identification
Cameras: Imaging
Cameras: Industrial

View all Cameras categories","All Products / Services

Barcode Services
Barcode Systems
Cameras
Identification Products
Imaging Equipment
Imaging Services


Integration Services
Lights
Machine Vision Systems
Scanners / Readers
Testers"
